transaction_id,procedure_id,trans_group_id,trans_group_ar,trans_group_en,procedure_name_ar,procedure_name_en,instance_date,property_type_id,property_type_ar,property_type_en,property_sub_type_id,property_sub_type_ar,property_sub_type_en,property_usage_ar,property_usage_en,reg_type_id,reg_type_ar,reg_type_en,area_id,area_name_ar,area_name_en,building_name_ar,building_name_en,project_number,project_name_ar,project_name_en,master_project_en,master_project_ar,nearest_landmark_ar,nearest_landmark_en,nearest_metro_ar,nearest_metro_en,nearest_mall_ar,nearest_mall_en,rooms_ar,rooms_en,has_parking,procedure_area,actual_worth,meter_sale_price,rent_value,meter_rent_price,no_of_parties_role_1,no_of_parties_role_2,no_of_parties_role_3
1-11-2003-294,11,1,مبايعات,Sales,بيع,Sell,05/03/2003,4,فيلا,Villa,null,,,سكني,Residential,1,العقارات القائمة,Existing Properties,264,ند الحمر,Nad Al Hamar,,,null,,,,,مطار دبي الدولي,Dubai International Airport,محطة مترو الراشدية,Rashidiya Metro Station,سيتي سنتر مردف,City Centre Mirdif,,,0,1114.84,570000,511.28,null,null,1,1,0
1-11-2003-1554,11,1,مبايعات,Sales,بيع,Sell,20/10/2003,1,أرض,Land,null,,,سكني,Residential,1,العقارات القائمة,Existing Properties,264,ند الحمر,Nad Al Hamar,,,null,,,,,مطار دبي الدولي,Dubai International Airport,محطة مترو الراشدية,Rashidiya Metro Station,سيتي سنتر مردف,City Centre Mirdif,,,0,1290.42,750000,581.21,null,null,1,1,0
2-13-1999-579,13,2,رهون,Mortgages,تسجيل رهن,Mortgage Registration,04/05/1999,4,فيلا,Villa,null,,,سكني,Residential,1,العقارات القائمة,Existing Properties,264,ند الحمر,Nad Al Hamar,,,null,,,,,مطار دبي الدولي,Dubai International Airport,محطة مترو الراشدية,Rashidiya Metro Station,سيتي سنتر مردف,City Centre Mirdif,,,0,1653.67,500000,302.36,null,null,1,1,0
2-13-2023-4188,13,2,رهون,Mortgages,تسجيل رهن,Mortgage Registration,21/03/2023,4,فيلا,Villa,null,,,سكني,Residential,1,العقارات القائمة,Existing Properties,264,ند الحمر,Nad Al Hamar,,,null,,,,,مطار دبي الدولي,Dubai International Airport,محطة مترو الراشدية,Rashidiya Metro Station,سيتي سنتر مردف,City Centre Mirdif,,,0,1374.96,300000,218.19,null,null,2,1,0
2-44-2021-2229,44,2,رهون,Mortgages,تحويل رهن,Mortgage Transfer,28/12/2021,2,مبنى,Building,null,,,تجاري,Commercial,1,العقارات القائمة,Existing Properties,248,ام رمول,Um Ramool,,,null,,,,,مطار دبي الدولي,Dubai International Airport,محطة مترو الامارات,Emirates Metro Station,سيتي سنتر مردف,City Centre Mirdif,,,0,16579.84,100500000,6061.58,null,null,1,1,0
2-14-2013-676,14,2,رهون,Mortgages,تعديل رهن,Modify Mortgage,09/09/2013,2,مبنى,Building,null,,,سكني / تجاري,Residential / Commercial,1,العقارات القائمة,Existing Properties,378,القرهود,Al Garhoud,,,null,,,,,مطار دبي الدولي,Dubai International Airport,محطة مترو جي جي كو,GGICO Metro Station,سيتي سنتر مردف,City Centre Mirdif,,,0,3402.94,60891000,17893.64,null,null,1,1,0
2-14-2022-1189,14,2,رهون,Mortgages,تعديل رهن,Modify Mortgage,15/11/2022,2,مبنى,Building,null,,,سكني / تجاري,Residential / Commercial,1,العقارات القائمة,Existing Properties,378,القرهود,Al Garhoud,,,null,,,,,مطار دبي الدولي,Dubai International Airport,محطة مترو جي جي كو,GGICO Metro Station,سيتي سنتر مردف,City Centre Mirdif,,,0,3402.94,41359000,12153.9,null,null,1,1,0
2-44-2021-2184,44,2,رهون,Mortgages,تحويل رهن,Mortgage Transfer,25/10/2021,2,مبنى,Building,null,,,سكني / تجاري,Residential / Commercial,1,العقارات القائمة,Existing Properties,378,القرهود,Al Garhoud,,,null,,,,,مطار دبي الدولي,Dubai International Airport,محطة مترو جي جي كو,GGICO Metro Station,سيتي سنتر مردف,City Centre Mirdif,,,0,3402.94,60891000,17893.64,null,null,1,1,0
3-9-2018-1048,9,3,هبات,Gifts,هبه,Grant,28/05/2018,4,فيلا,Villa,null,,,سكني,Residential,1,العقارات القائمة,Existing Properties,378,القرهود,Al Garhoud,,,null,,,,,مطار دبي الدولي,Dubai International Airport,محطة مترو مبنى المطار رقم 1,Airport Terminal 1 Metro Station,سيتي سنتر مردف,City Centre Mirdif,,,0,929.03,5500000,5920.15,null,null,1,1,0
2-14-2024-220,14,2,رهون,Mortgages,تعديل رهن,Modify Mortgage,26/02/2024,2,مبنى,Building,null,,,سكني / تجاري,Residential / Commercial,1,العقارات القائمة,Existing Properties,378,القرهود,Al Garhoud,,,null,,,,,مطار دبي الدولي,Dubai International Airport,محطة مترو جي جي كو,GGICO Metro Station,سيتي سنتر مردف,City Centre Mirdif,,,0,2196.23,124000000,56460.39,null,null,2,1,0
3-9-2017-2652,9,3,هبات,Gifts,هبه,Grant,27/12/2017,2,مبنى,Building,null,,,صناعي,Industrial,1,العقارات القائمة,Existing Properties,248,ام رمول,Um Ramool,,,null,,,,,مطار دبي الدولي,Dubai International Airport,محطة مترو الامارات,Emirates Metro Station,سيتي سنتر مردف,City Centre Mirdif,,,0,4506.72,25000000,5547.27,null,null,1,1,0
2-13-2004-957,13,2,رهون,Mortgages,تسجيل رهن,Mortgage Registration,11/10/2004,4,فيلا,Villa,null,,,سكني,Residential,1,العقارات القائمة,Existing Properties,378,القرهود,Al Garhoud,,,null,,,,,مطار دبي الدولي,Dubai International Airport,محطة مترو مبنى المطار رقم 1,Airport Terminal 1 Metro Station,سيتي سنتر مردف,City Centre Mirdif,,,0,2378.32,6000000,2522.79,null,null,1,1,0
2-13-1989-24,13,2,رهون,Mortgages,تسجيل رهن,Mortgage Registration,27/09/1989,4,فيلا,Villa,null,,,سكني,Residential,1,العقارات القائمة,Existing Properties,378,القرهود,Al Garhoud,,,null,,,,,مطار دبي الدولي,Dubai International Airport,محطة مترو مبنى المطار رقم 1,Airport Terminal 1 Metro Station,سيتي سنتر مردف,City Centre Mirdif,,,0,6428.89,16000000,2488.77,null,null,1,1,0
1-11-2006-855,11,1,مبايعات,Sales,بيع,Sell,29/05/2006,4,فيلا,Villa,null,,,سكني,Residential,1,العقارات القائمة,Existing Properties,234,هور العنز شرق,Hor Al Anz East,,,null,,,,,مطار دبي الدولي,Dubai International Airport,محطة مترو القيادة,Al Qiyadah Metro Station,سيتي سنتر مردف,City Centre Mirdif,,,0,929.03,2500000,2690.98,null,null,10,1,0
1-11-2011-3680,11,1,مبايعات,Sales,بيع,Sell,01/03/2011,4,فيلا,Villa,null,,,سكني,Residential,1,العقارات القائمة,Existing Properties,234,هور العنز شرق,Hor Al Anz East,,,null,,,,,مطار دبي الدولي,Dubai International Airport,محطة مترو القيادة,Al Qiyadah Metro Station,سيتي سنتر مردف,City Centre Mirdif,,,0,1021.93,1000000,978.54,null,null,1,1,0
2-13-2003-193,13,2,رهون,Mortgages,تسجيل رهن,Mortgage Registration,11/03/2003,2,مبنى,Building,null,,,تجاري,Commercial,1,العقارات القائمة,Existing Properties,248,ام رمول,Um Ramool,,,null,,,,,مطار دبي الدولي,Dubai International Airport,محطة مترو الامارات,Emirates Metro Station,سيتي سنتر مردف,City Centre Mirdif,,,0,1317.64,1800000,1366.08,null,null,1,1,0
2-13-1999-154,13,2,رهون,Mortgages,تسجيل رهن,Mortgage Registration,16/02/1999,2,مبنى,Building,null,,,تجاري,Commercial,1,العقارات القائمة,Existing Properties,234,هور العنز شرق,Hor Al Anz East,,,null,,,,,مطار دبي الدولي,Dubai International Airport,محطة مترو القيادة,Al Qiyadah Metro Station,سيتي سنتر مردف,City Centre Mirdif,,,0,3716.12,41650367,11208.03,null,null,1,1,0
2-13-2005-236,13,2,رهون,Mortgages,تسجيل رهن,Mortgage Registration,21/03/2005,4,فيلا,Villa,null,,,سكني,Residential,1,العقارات القائمة,Existing Properties,234,هور العنز شرق,Hor Al Anz East,,,null,,,,,مطار دبي الدولي,Dubai International Airport,محطة مترو القيادة,Al Qiyadah Metro Station,سيتي سنتر مردف,City Centre Mirdif,,,0,1021.93,430000,420.77,null,null,1,1,0
2-14-2016-1026,14,2,رهون,Mortgages,تعديل رهن,Modify Mortgage,26/09/2016,2,مبنى,Building,null,,,سكني / تجاري,Residential / Commercial,1,العقارات القائمة,Existing Properties,234,هور العنز شرق,Hor Al Anz East,,,null,,,,,مطار دبي الدولي,Dubai International Airport,محطة مترو القيادة,Al Qiyadah Metro Station,سيتي سنتر مردف,City Centre Mirdif,,,0,2341.16,48000000,20502.66,null,null,1,1,0
2-13-2002-919,13,2,رهون,Mortgages,تسجيل رهن,Mortgage Registration,18/11/2002,2,مبنى,Building,null,,,سكني / تجاري,Residential / Commercial,1,العقارات القائمة,Existing Properties,240,بور سعيد,Port Saeed,,,null,,,,,مطار دبي الدولي,Dubai International Airport,ديرة سيتي سنتر,Deira City Centre,مول دبي,Dubai Mall,,,0,4117.93,52500000,12749.12,null,null,3,1,0
3-9-2007-300043,9,3,هبات,Gifts,هبه,Grant,28/03/2007,1,أرض,Land,null,,,سكني / تجاري,Residential / Commercial,1,العقارات القائمة,Existing Properties,240,بور سعيد,Port Saeed,,,null,,,,,مطار دبي الدولي,Dubai International Airport,ديرة سيتي سنتر,Deira City Centre,مول دبي,Dubai Mall,,,0,28.74,187503,6524.12,null,null,1,3,0
1-11-2013-1510,11,1,مبايعات,Sales,بيع,Sell,16/01/2013,2,مبنى,Building,null,,,سكني,Residential,1,العقارات القائمة,Existing Properties,231,الممزر,Al Mamzer,,,null,,,,,مطار دبي الدولي,Dubai International Airport,محطة مترو القيادة,Al Qiyadah Metro Station,,,,,0,1635.09,5500000,3363.73,null,null,1,1,0
1-11-2004-623,11,1,مبايعات,Sales,بيع,Sell,29/03/2004,2,مبنى,Building,null,,,سكني,Residential,1,العقارات القائمة,Existing Properties,239,البراحه,Al Baraha,,,null,,,,,مطار دبي الدولي,Dubai International Airport,محطة مترو صلاح الدين,Salah Al Din Metro Station,مول دبي,Dubai Mall,,,0,1248.15,8061000,6458.36,null,null,12,1,0
2-14-2012-234,14,2,رهون,Mortgages,تعديل رهن,Modify Mortgage,10/04/2012,2,مبنى,Building,null,,,سكني,Residential,1,العقارات القائمة,Existing Properties,239,البراحه,Al Baraha,,,null,,,,,مطار دبي الدولي,Dubai International Airport,محطة مترو صلاح الدين,Salah Al Din Metro Station,مول دبي,Dubai Mall,,,0,1248.15,42200000,33810.04,null,null,1,1,0
2-13-1999-78,13,2,رهون,Mortgages,تسجيل رهن,Mortgage Registration,02/02/1999,2,مبنى,Building,null,,,سكني,Residential,1,العقارات القائمة,Existing Properties,239,البراحه,Al Baraha,,,null,,,,,مطار دبي الدولي,Dubai International Airport,محطة مترو صلاح الدين,Salah Al Din Metro Station,مول دبي,Dubai Mall,,,0,242.48,7200000,29693.17,null,null,1,1,0
2-14-2002-61,14,2,رهون,Mortgages,تعديل رهن,Modify Mortgage,11/03/2002,2,مبنى,Building,null,,,سكني,Residential,1,العقارات القائمة,Existing Properties,239,البراحه,Al Baraha,,,null,,,,,مطار دبي الدولي,Dubai International Airport,محطة مترو صلاح الدين,Salah Al Din Metro Station,مول دبي,Dubai Mall,,,0,324.79,4422318,13615.93,null,null,1,1,0
1-11-2003-1005,11,1,مبايعات,Sales,بيع,Sell,08/07/2003,2,مبنى,Building,null,,,سكني,Residential,1,العقارات القائمة,Existing Properties,239,البراحه,Al Baraha,,,null,,,,,مطار دبي الدولي,Dubai International Airport,محطة مترو صلاح الدين,Salah Al Din Metro Station,مول دبي,Dubai Mall,,,0,229.28,1160000,5059.32,null,null,1,2,0
1-11-2005-631,11,1,مبايعات,Sales,بيع,Sell,15/03/2005,4,فيلا,Villa,null,,,سكني,Residential,1,العقارات القائمة,Existing Properties,239,البراحه,Al Baraha,,,null,,,,,مطار دبي الدولي,Dubai International Airport,محطة مترو صلاح الدين,Salah Al Din Metro Station,,,,,0,1393.55,2685600,1927.16,null,null,20,1,0
1-11-2015-16983,11,1,مبايعات,Sales,بيع,Sell,11/11/2015,1,أرض,Land,null,,,سكني,Residential,1,العقارات القائمة,Existing Properties,230,ابو هيل,Abu Hail,,,null,,,,,مطار دبي الدولي,Dubai International Airport,محطة مترو أبو بكر الصديق,Abu Baker Al Siddique Metro Station,,,,,0,224.17,4080600,18203.15,null,null,19,1,0
1-11-2013-16151,11,1,مبايعات,Sales,بيع,Sell,27/05/2013,2,مبنى,Building,null,,,تجاري,Commercial,1,العقارات القائمة,Existing Properties,235,عيال ناصر,Eyal Nasser,,,null,,,,,مطار دبي الدولي,Dubai International Airport,محطات مترو نخلة ديرة,Palm Deira Metro Stations,مول دبي,Dubai Mall,,,0,107.77,3300000,30620.77,null,null,7,1,0
1-11-2002-1482,11,1,مبايعات,Sales,بيع,Sell,15/10/2002,2,مبنى,Building,null,,,سكني,Residential,1,العقارات القائمة,Existing Properties,239,البراحه,Al Baraha,,,null,,,,,مطار دبي الدولي,Dubai International Airport,محطة مترو صلاح الدين,Salah Al Din Metro Station,مول دبي,Dubai Mall,,,0,186.27,835000,4482.74,null,null,11,1,0
3-9-2013-350,9,3,هبات,Gifts,هبه,Grant,06/05/2013,2,مبنى,Building,null,,,سكني / تجاري,Residential / Commercial,1,العقارات القائمة,Existing Properties,235,عيال ناصر,Eyal Nasser,,,null,,,,,مطار دبي الدولي,Dubai International Airport,محطات مترو نخلة ديرة,Palm Deira Metro Stations,مول دبي,Dubai Mall,,,0,1396.33,33000000,23633.38,null,null,1,1,0
1-11-2016-2340,11,1,مبايعات,Sales,بيع,Sell,29/02/2016,4,فيلا,Villa,null,,,سكني,Residential,1,العقارات القائمة,Existing Properties,232,مردف,Mirdif,,,null,,,,,مطار دبي الدولي,Dubai International Airport,محطة مترو الراشدية,Rashidiya Metro Station,سيتي سنتر مردف,City Centre Mirdif,,,0,672.34,5000000,7436.71,null,null,1,1,0
1-11-2002-276,11,1,مبايعات,Sales,بيع,Sell,11/02/2002,4,فيلا,Villa,null,,,سكني,Residential,1,العقارات القائمة,Existing Properties,232,مردف,Mirdif,,,null,,,,,مطار دبي الدولي,Dubai International Airport,محطة مترو الراشدية,Rashidiya Metro Station,سيتي سنتر مردف,City Centre Mirdif,,,0,696.77,1415000,2030.8,null,null,1,1,0
1-11-2022-32375,11,1,مبايعات,Sales,بيع,Sell,28/12/2022,1,أرض,Land,null,,,سكني,Residential,1,العقارات القائمة,Existing Properties,232,مردف,Mirdif,,,null,,,,,مطار دبي الدولي,Dubai International Airport,محطة مترو الراشدية,Rashidiya Metro Station,سيتي سنتر مردف,City Centre Mirdif,,,0,940.64,3300000,3508.25,null,null,17,4,0
1-11-1998-1000,11,1,مبايعات,Sales,بيع,Sell,29/09/1998,4,فيلا,Villa,null,,,سكني,Residential,1,العقارات القائمة,Existing Properties,232,مردف,Mirdif,,,null,,,,,مطار دبي الدولي,Dubai International Airport,محطة مترو الراشدية,Rashidiya Metro Station,سيتي سنتر مردف,City Centre Mirdif,,,0,672.34,325665,484.38,null,null,1,1,0
3-9-2007-17,9,3,هبات,Gifts,هبه,Grant,13/02/2007,4,فيلا,Villa,null,,,سكني,Residential,1,العقارات القائمة,Existing Properties,232,مردف,Mirdif,,,null,,,,,مطار دبي الدولي,Dubai International Airport,محطة مترو الراشدية,Rashidiya Metro Station,سيتي سنتر مردف,City Centre Mirdif,,,0,696.31,3500000,5026.5,null,null,1,6,0
1-11-2005-1549,11,1,مبايعات,Sales,بيع,Sell,27/06/2005,4,فيلا,Villa,null,,,سكني,Residential,1,العقارات القائمة,Existing Properties,232,مردف,Mirdif,,,null,,,,,مطار دبي الدولي,Dubai International Airport,محطة مترو الراشدية,Rashidiya Metro Station,سيتي سنتر مردف,City Centre Mirdif,,,0,1393.55,2980000,2138.42,null,null,1,1,0
2-13-2010-5543,13,2,رهون,Mortgages,تسجيل رهن,Mortgage Registration,19/10/2010,4,فيلا,Villa,null,,,سكني,Residential,1,العقارات القائمة,Existing Properties,232,مردف,Mirdif,,,null,,,,,مطار دبي الدولي,Dubai International Airport,محطة مترو الراشدية,Rashidiya Metro Station,سيتي سنتر مردف,City Centre Mirdif,,,0,929.03,5639841,6070.68,null,null,1,1,0
1-11-2021-8355,11,1,مبايعات,Sales,بيع,Sell,24/05/2021,4,فيلا,Villa,null,,,سكني,Residential,1,العقارات القائمة,Existing Properties,232,مردف,Mirdif,,,null,,,,,مطار دبي الدولي,Dubai International Airport,محطة مترو الراشدية,Rashidiya Metro Station,سيتي سنتر مردف,City Centre Mirdif,,,0,904.6,5000000,5527.3,null,null,2,1,0
